,m,km,miles,seconds,minutes,hours,leg,lon,lat,Name
12,55,0.055,0.034177,7,0.116666667,0.001944444,1,-97.739545,30.3281935,CSG 1541
13,1234,1.234,0.7668076,164,2.733333333,0.045555556,2,-97.739248,30.3286181,CSG 1541
14,268,0.268,0.1665352,61,1.016666667,0.016944444,3,-97.7280484,30.3231933,CSG 1541
15,87,0.087,0.0540618,9,0.15,0.0025,4,-97.7267084,30.3253097,CSG 1541
16,1175,1.175,0.730145,98,1.633333333,0.027222222,5,-97.7258821,30.325412,CSG 1541
17,176,0.176,0.1093664,10,0.166666667,0.002777778,6,-97.7155186,30.320427,CSG 1541
18,6269,6.269,3.8955566,296,4.933333333,0.082222222,7,-97.7136973,30.320323,CSG 1541
19,289,0.289,0.1795846,24,0.4,0.006666667,8,-97.7315156,30.2747316,CSG 1541
20,209,0.209,0.1298726,35,0.583333333,0.009722222,9,-97.7326437,30.2723511,CSG 1541
21,663,0.663,0.4119882,115,1.916666667,0.031944444,10,-97.7332919,30.27056,CSG 1541
22,NA,NA,NA,NA,NA,NA,NA,-97.7398512,30.272412,CSG 1541
23,129,0.129,0.0801606,51,0.85,0.014166667,1,-97.7400456,30.2897081,FJC 9793
24,654,0.654,0.4063956,98,1.633333333,0.027222222,2,-97.7413871,30.2898166,FJC 9793
25,881,0.881,0.5474534,169,2.816666667,0.046944444,3,-97.7427992,30.2953853,FJC 9793
26,183,0.183,0.1137162,23,0.383333333,0.006388889,4,-97.7503776,30.2996847,FJC 9793
27,627,0.627,0.3896178,84,1.4,0.023333333,5,-97.7512199,30.298222,FJC 9793
28,5560,5.56,3.454984,237,3.95,0.065833333,6,-97.7570054,30.3004694,FJC 9793
29,316,0.316,0.1963624,34,0.566666667,0.009444444,7,-97.7495078,30.3489408,FJC 9793
30,503,0.503,0.3125642,67,1.116666667,0.018611111,8,-97.7483772,30.3516095,FJC 9793
31,600,0.6,0.37284,76,1.266666667,0.021111111,9,-97.7531234,30.3534595,FJC 9793
32,NA,NA,NA,NA,NA,NA,NA,-97.7507914,30.3583409,FJC 9793
33,33,0.033,0.0205062,3,0.05,0.000833333,1,-97.729715,30.2758752,FBV 4391
34,25,0.025,0.015535,25,0.416666667,0.006944444,2,-97.7297712,30.2761698,FBV 4391
35,385,0.385,0.239239,87,1.45,0.024166667,3,-97.7300261,30.2761304,FBV 4391
36,2582,2.582,1.6044548,130,2.166666667,0.036111111,4,-97.7287394,30.2791766,FBV 4391
37,156,0.156,0.0969384,12,0.2,0.003333333,5,-97.7163417,30.2997079,FBV 4391
38,1085,1.085,0.674219,77,1.283333333,0.021388889,6,-97.715208,30.3007051,FBV 4391
39,310,0.31,0.192634,45,0.75,0.0125,7,-97.7080424,30.2945503,FBV 4391
40,68,0.068,0.0422552,23,0.383333333,0.006388889,8,-97.7051283,30.2941913,FBV 4391
41,NA,NA,NA,NA,NA,NA,NA,-97.705128,30.2948041,FBV 4391
42,68,0.068,0.0422552,24,0.4,0.006666667,1,-97.705128,30.2948041,FBV 4391
43,254,0.254,0.1578356,45,0.75,0.0125,2,-97.7051283,30.2941913,FBV 4391
44,1294,1.294,0.8040916,160,2.666666667,0.044444444,3,-97.7077763,30.2941527,FBV 4391
45,42,0.042,0.0260988,9,0.15,0.0025,4,-97.7157093,30.3026856,FBV 4391
46,242,0.242,0.1503788,19,0.316666667,0.005277778,5,-97.715935,30.3023574,FBV 4391
47,3751,3.751,2.3308714,183,3.05,0.050833333,6,-97.7164255,30.3002593,FBV 4391
48,168,0.168,0.1043952,14,0.233333333,0.003888889,7,-97.7331504,30.2699518,FBV 4391
49,325,0.325,0.201955,57,0.95,0.015833333,8,-97.7340122,30.268675,FBV 4391
50,786,0.786,0.4884204,148,2.466666667,0.041111111,9,-97.7350266,30.265884,FBV 4391
51,327,0.327,0.2031978,76,1.266666667,0.021111111,10,-97.742813,30.268066,FBV 4391
52,195,0.195,0.121173,61,1.016666667,0.016944444,11,-97.7438459,30.2652644,FBV 4391
53,NA,NA,NA,NA,NA,NA,NA,-97.7457795,30.265805,FBV 4391
54,312,0.312,0.1938768,42,0.7,0.011666667,1,-97.7747673,30.2080826,FHB 0201
55,100,0.1,0.06214,17,0.283333333,0.004722222,2,-97.777471,30.2096404,FHB 0201
56,154,0.154,0.0956956,25,0.416666667,0.006944444,3,-97.7770935,30.2104632,FHB 0201
57,305,0.305,0.189527,57,0.95,0.015833333,4,-97.778605,30.2108224,FHB 0201
58,NA,NA,NA,NA,NA,NA,NA,-97.7762146,30.21253,FHB 0201
59,197,0.197,0.1224158,35,0.583333333,0.009722222,1,-97.7693134,30.2554262,FHB 2825
60,1200,1.2,0.74568,170,2.833333333,0.047222222,2,-97.7710873,30.2563004,FHB 2825
61,490,0.49,0.304486,65,1.083333333,0.018055556,3,-97.7772407,30.246912,FHB 2825
62,1803,1.803,1.1203842,188,3.133333333,0.052222222,4,-97.7813252,30.2443034,FHB 2825
63,369,0.369,0.2292966,30,0.5,0.008333333,5,-97.7885413,30.229629,FHB 2825
64,359,0.359,0.2230826,16,0.266666667,0.004444444,6,-97.7851686,30.2280336,FHB 2825
65,2256,2.256,1.4018784,80,1.333333333,0.022222222,7,-97.7814889,30.2277601,FHB 2825
66,8670,8.67,5.387538,299,4.983333333,0.083055556,8,-97.7603813,30.2208753,FHB 2825
67,NA,NA,NA,NA,NA,NA,NA,-97.6746047,30.2212319,FHB 2825
68,868,0.868,0.5393752,103,1.716666667,0.028611111,1,-97.7516555,30.3558293,FBV 4471
69,292,0.292,0.1814488,64,1.066666667,0.017777778,2,-97.7469754,30.3617355,FBV 4471
70,3394,3.394,2.1090316,379,6.316666667,0.105277778,3,-97.7440583,30.3612015,FBV 4471
71,1163,1.163,0.7226882,117,1.95,0.0325,4,-97.7134209,30.3469806,FBV 4471
72,887,0.887,0.5511818,82,1.366666667,0.022777778,5,-97.7189608,30.337741,FBV 4471
73,432,0.432,0.2684448,49,0.816666667,0.013611111,6,-97.7156327,30.3303622,FBV 4471
74,174,0.174,0.1081236,67,1.116666667,0.018611111,7,-97.7111645,30.3306774,FBV 4471
75,NA,NA,NA,NA,NA,NA,NA,-97.7110504,30.3291221,FBV 4471
76,54,0.054,0.0335556,14,0.233333333,0.003888889,1,-97.7391732,30.260729,GGG 3720
77,204,0.204,0.1267656,74,1.233333333,0.020555556,2,-97.7390062,30.261196,GGG 3720
78,1420,1.42,0.882388,154,2.566666667,0.042777778,3,-97.736986,30.260624,GGG 3720
79,582,0.582,0.3616548,59,0.983333333,0.016388889,4,-97.7357879,30.2481136,GGG 3720
80,952,0.952,0.5915728,96,1.6,0.026666667,5,-97.7309337,30.2452953,GGG 3720
81,832,0.832,0.5170048,92,1.533333333,0.025555556,6,-97.7258363,30.2379849,GGG 3720
82,210,0.21,0.130494,42,0.7,0.011666667,7,-97.7299038,30.2314092,GGG 3720
83,NA,NA,NA,NA,NA,NA,NA,-97.7280004,30.2304862,GGG 3720
84,173,0.173,0.1075022,39,0.65,0.010833333,1,-97.7280004,30.2304862,GGG 3720
85,495,0.495,0.307593,61,1.016666667,0.016944444,2,-97.726425,30.2297392,GGG 3720
86,2192,2.192,1.3621088,190,3.166666667,0.052777778,3,-97.7238083,30.2334184,GGG 3720
87,1228,1.228,0.7630792,131,2.183333333,0.036388889,4,-97.7034758,30.2248747,GGG 3720
88,557,0.557,0.3461198,69,1.15,0.019166667,5,-97.697334,30.2345549,GGG 3720
89,155,0.155,0.096317,19,0.316666667,0.005277778,6,-97.7021381,30.2372171,GGG 3720
90,NA,NA,NA,NA,NA,NA,NA,-97.7033937,30.236557,GGG 3720
91,1060,1.06,0.658684,139,2.316666667,0.038611111,1,-97.7686698,30.2352224,CSG 1513
92,804,0.804,0.4996056,104,1.733333333,0.028888889,2,-97.7643156,30.2439181,CSG 1513
93,3102,3.102,1.9275828,359,5.983333333,0.099722222,3,-97.7699655,30.2484263,CSG 1513
94,1093,1.093,0.6791902,124,2.066666667,0.034444444,4,-97.7539935,30.2715396,CSG 1513
95,1,0.001,0.0006214,4,0.066666667,0.001111111,5,-97.76422,30.275769,CSG 1513
96,NA,NA,NA,NA,NA,NA,NA,-97.7642241,30.2757629,CSG 1513
97,1,0.001,0.0006214,0,0,0,1,-97.7642241,30.2757629,CSG 1513
98,239,0.239,0.1485146,30,0.5,0.008333333,2,-97.76422,30.275769,CSG 1513
99,406,0.406,0.2522884,54,0.9,0.015,3,-97.7663746,30.2768402,CSG 1513
100,38,0.038,0.0236132,10,0.166666667,0.002777778,4,-97.7704765,30.2772715,CSG 1513
101,604,0.604,0.3753256,37,0.616666667,0.010277778,5,-97.770306,30.2770798,CSG 1513
102,2351,2.351,1.4609114,221,3.683333333,0.061388889,6,-97.7656322,30.2735508,CSG 1513
103,824,0.824,0.5120336,114,1.9,0.031666667,7,-97.7450226,30.2635113,CSG 1513
104,NA,NA,NA,NA,NA,NA,NA,-97.7470931,30.2565639,CSG 1513
105,65,0.065,0.040391,6,0.1,0.001666667,1,-97.7568412,30.2763591,CK9 T286
106,94,0.094,0.0584116,21,0.35,0.005833333,2,-97.7562459,30.276081,CK9 T286
107,105,0.105,0.065247,25,0.416666667,0.006944444,3,-97.7557846,30.2768297,CK9 T286
108,174,0.174,0.1081236,30,0.5,0.008333333,4,-97.7548201,30.2763772,CK9 T286
109,298,0.298,0.1851772,48,0.8,0.013333333,5,-97.7541685,30.2778416,CK9 T286
110,61,0.061,0.0379054,14,0.233333333,0.003888889,6,-97.753736,30.2803059,CK9 T286
111,2151,2.151,1.3366314,246,4.1,0.068333333,7,-97.7531659,30.2800661,CK9 T286
112,79,0.079,0.0490906,10,0.166666667,0.002777778,8,-97.7317668,30.2747227,CK9 T286
113,3168,3.168,1.9685952,163,2.716666667,0.045277778,9,-97.7320176,30.2740473,CK9 T286
114,126,0.126,0.0782964,8,0.133333333,0.002222222,10,-97.7350715,30.2464244,CK9 T286
115,520,0.52,0.323128,45,0.75,0.0125,11,-97.735311,30.2453136,CK9 T286
116,1177,1.177,0.7313878,153,2.55,0.0425,12,-97.7373993,30.2410624,CK9 T286
117,374,0.374,0.2324036,40,0.666666667,0.011111111,13,-97.7273688,30.2354182,CK9 T286
118,NA,NA,NA,NA,NA,NA,NA,-97.7292432,30.2324721,CK9 T286
119,87,0.087,0.0540618,11,0.183333333,0.003055556,1,-97.7609112,30.2584993,FHB 2829
120,131,0.131,0.0814034,35,0.583333333,0.009722222,2,-97.7604004,30.2591402,FHB 2829
121,1383,1.383,0.8593962,208,3.466666667,0.057777778,3,-97.7592199,30.2585513,FHB 2829
122,1156,1.156,0.7183384,207,3.45,0.0575,4,-97.7545735,30.2702772,FHB 2829
123,110,0.11,0.068354,37,0.616666667,0.010277778,5,-97.7431305,30.2671174,FHB 2829
124,30,0.03,0.018642,16,0.266666667,0.004444444,6,-97.742813,30.268066,FHB 2829
125,NA,NA,NA,NA,NA,NA,NA,-97.7431157,30.2681468,FHB 2829
126,403,0.403,0.2504242,51,0.85,0.014166667,1,-97.7729401,30.2311865,FJD 0199
127,541,0.541,0.3361774,79,1.316666667,0.021944444,2,-97.7709186,30.2343639,FJD 0199
128,4026,4.026,2.5017564,442,7.366666667,0.122777778,3,-97.7659841,30.2320261,FJD 0199
129,447,0.447,0.2777658,97,1.616666667,0.026944444,4,-97.7470845,30.2640425,FJD 0199
130,185,0.185,0.114959,41,0.683333333,0.011388889,5,-97.7455449,30.267796,FJD 0199
131,NA,NA,NA,NA,NA,NA,NA,-97.7437157,30.2672714,FJD 0199
132,690,0.69,0.428766,29,0.483333333,0.008055556,1,-97.6746047,30.2212319,CSG 1539
133,445,0.445,0.276523,23,0.383333333,0.006388889,2,-97.6684155,30.2180866,CSG 1539
134,1676,1.676,1.0414664,88,1.466666667,0.024444444,3,-97.6646325,30.2157984,CSG 1539
135,8383,8.383,5.2091962,295,4.916666667,0.081944444,4,-97.6776664,30.2229079,CSG 1539
136,192,0.192,0.1193088,7,0.116666667,0.001944444,5,-97.7603374,30.2210822,CSG 1539
137,734,0.734,0.4561076,33,0.55,0.009166667,6,-97.7620701,30.221934,CSG 1539
138,146,0.146,0.0907244,32,0.533333333,0.008888889,7,-97.7678518,30.226208,CSG 1539
139,1541,1.541,0.9575774,163,2.716666667,0.045277778,8,-97.7691787,30.2268486,CSG 1539
140,133,0.133,0.0826462,37,0.616666667,0.010277778,9,-97.7767975,30.214787,CSG 1539
141,NA,NA,NA,NA,NA,NA,NA,-97.7754395,30.2147928,CSG 1539
142,0,0,0,0,0,0,1,-97.7754395,30.2147928,CSG 1539
143,NA,NA,NA,NA,NA,NA,NA,-97.7754395,30.2147928,CSG 1539
144,321,0.321,0.1994694,76,1.266666667,0.021111111,1,-97.7081071,30.3049662,FHB 2856
145,558,0.558,0.3467412,108,1.8,0.03,2,-97.7064682,30.3074685,FHB 2856
146,123,0.123,0.0764322,14,0.233333333,0.003888889,3,-97.7113343,30.3101906,FHB 2856
147,4861,4.861,3.0206254,240,4,0.066666667,4,-97.7114407,30.309093,FHB 2856
148,168,0.168,0.1043952,14,0.233333333,0.003888889,5,-97.7331504,30.2699518,FHB 2856
149,216,0.216,0.1342224,40,0.666666667,0.011111111,6,-97.7340122,30.268675,FHB 2856
150,83,0.083,0.0515762,23,0.383333333,0.006388889,7,-97.7346772,30.2668223,FHB 2856
151,106,0.106,0.0658684,16,0.266666667,0.004444444,8,-97.7338513,30.266593,FHB 2856
152,114,0.114,0.0708396,22,0.366666667,0.006111111,9,-97.7335239,30.2675059,FHB 2856
153,110,0.11,0.068354,26,0.433333333,0.007222222,10,-97.7323996,30.2671938,FHB 2856
154,1,0.001,0.0006214,4,0.066666667,0.001111111,11,-97.7319907,30.2680681,FHB 2856
155,NA,NA,NA,NA,NA,NA,NA,-97.7319991,30.2680706,FHB 2856
156,1,0.001,0.0006214,0,0,0,1,-97.7319991,30.2680706,FHB 2856
157,110,0.11,0.068354,28,0.466666667,0.007777778,2,-97.7319907,30.2680681,FHB 2856
158,114,0.114,0.0708396,24,0.4,0.006666667,3,-97.7323996,30.2671938,FHB 2856
159,821,0.821,0.5101694,134,2.233333333,0.037222222,4,-97.7335239,30.2675059,FHB 2856
160,2249,2.249,1.3975286,241,4.016666667,0.066944444,5,-97.7309828,30.2745531,FHB 2856
161,1157,1.157,0.7189598,132,2.2,0.036666667,6,-97.7532419,30.2802155,FHB 2856
162,8,0.008,0.0049712,2,0.033333333,0.000555556,7,-97.7632578,30.2856658,FHB 2856
163,1364,1.364,0.8475896,71,1.183333333,0.019722222,8,-97.7632096,30.2857243,FHB 2856
164,341,0.341,0.2118974,20,0.333333333,0.005555556,9,-97.758361,30.2971206,FHB 2856
165,195,0.195,0.121173,32,0.533333333,0.008888889,10,-97.757666,30.3000928,FHB 2856
166,NA,NA,NA,NA,NA,NA,NA,-97.7559968,30.3000051,FHB 2856
167,54,0.054,0.0335556,10,0.166666667,0.002777778,1,-97.7167007,30.2928384,FGZ 8624
168,375,0.375,0.233025,93,1.55,0.025833333,2,-97.7164239,30.293259,FGZ 8624
169,864,0.864,0.5368896,82,1.366666667,0.022777778,3,-97.7197894,30.2949542,FGZ 8624
170,301,0.301,0.1870414,16,0.266666667,0.004444444,4,-97.7241441,30.2881506,FGZ 8624
171,377,0.377,0.2342678,19,0.316666667,0.005277778,5,-97.7254686,30.2857378,FGZ 8624
172,1538,1.538,0.9557132,85,1.416666667,0.023611111,6,-97.727424,30.282798,FGZ 8624
173,168,0.168,0.1043952,14,0.233333333,0.003888889,7,-97.7331504,30.2699518,FGZ 8624
174,325,0.325,0.201955,57,0.95,0.015833333,8,-97.7340122,30.268675,FGZ 8624
175,922,0.922,0.5729308,173,2.883333333,0.048055556,9,-97.7350266,30.265884,FGZ 8624
176,218,0.218,0.1354652,82,1.366666667,0.022777778,10,-97.7441589,30.2684275,FGZ 8624
177,NA,NA,NA,NA,NA,NA,NA,-97.74486,30.2665586,FGZ 8624
178,3,0.003,0.0018642,0,0,0,1,-97.7617505,30.2878768,FJD 0195
179,87,0.087,0.0540618,14,0.233333333,0.003888889,2,-97.7617398,30.2879002,FJD 0195
180,305,0.305,0.189527,44,0.733333333,0.012222222,3,-97.7609509,30.287524,FJD 0195
181,1087,1.087,0.6754618,108,1.8,0.03,4,-97.762576,30.285166,FJD 0195
182,686,0.686,0.4262804,57,0.95,0.015833333,5,-97.7531659,30.2800661,FJD 0195
183,587,0.587,0.3647618,109,1.816666667,0.030277778,6,-97.7462461,30.2787666,FJD 0195
184,222,0.222,0.1379508,41,0.683333333,0.011388889,7,-97.748132,30.2737484,FJD 0195
185,119,0.119,0.0739466,26,0.433333333,0.007222222,8,-97.7488386,30.2718794,FJD 0195
186,127,0.127,0.0789178,38,0.633333333,0.010555556,9,-97.7491855,30.2708784,FJD 0195
187,NA,NA,NA,NA,NA,NA,NA,-97.7479315,30.2705209,FJD 0195
188,18,0.018,0.0111852,4,0.066666667,0.001111111,1,-97.7479315,30.2705209,FJD 0195
189,109,0.109,0.0677326,54,0.9,0.015,2,-97.7481071,30.270578,FJD 0195
190,574,0.574,0.3566836,126,2.1,0.035,3,-97.7484442,30.2696374,FJD 0195
191,3629,3.629,2.2550606,414,6.9,0.115,4,-97.7539935,30.2715396,FJD 0195
192,598,0.598,0.3715972,83,1.383333333,0.023055556,5,-97.7752384,30.2472827,FJD 0195
193,145,0.145,0.090103,22,0.366666667,0.006111111,6,-97.7777844,30.2425498,FJD 0195
194,NA,NA,NA,NA,NA,NA,NA,-97.7764315,30.2420447,FJD 0195
195,145,0.145,0.090103,17,0.283333333,0.004722222,1,-97.7764315,30.2420447,FJD 0195
196,598,0.598,0.3715972,78,1.3,0.021666667,2,-97.7777844,30.2425498,FJD 0195
197,3119,3.119,1.9381466,334,5.566666667,0.092777778,3,-97.7752384,30.2472827,FJD 0195
198,39,0.039,0.0242346,6,0.1,0.001666667,4,-97.7558961,30.2672883,FJD 0195
199,67,0.067,0.0416338,14,0.233333333,0.003888889,5,-97.755539,30.2674049,FJD 0195
200,54,0.054,0.0335556,26,0.433333333,0.007222222,6,-97.7553496,30.2668449,FJD 0195
201,1248,1.248,0.7755072,84,1.4,0.023333333,7,-97.7555492,30.2663928,FJD 0195
202,8773,8.773,5.4515422,375,6.25,0.104166667,8,-97.7653208,30.2733457,FJD 0195
203,316,0.316,0.1963624,34,0.566666667,0.009444444,9,-97.7495078,30.3489408,FJD 0195
204,503,0.503,0.3125642,67,1.116666667,0.018611111,10,-97.7483772,30.3516095,FJD 0195
205,135,0.135,0.083889,22,0.366666667,0.006111111,11,-97.7531234,30.3534595,FJD 0195
206,NA,NA,NA,NA,NA,NA,NA,-97.7524625,30.3545359,FJD 0195
207,1,0.001,0.0006214,0,0,0,1,-97.714674,30.2589088,FHB 1681
208,903,0.903,0.5611242,152,2.533333333,0.042222222,2,-97.7146714,30.2589148,FHB 1681
209,NA,NA,NA,NA,NA,NA,NA,-97.7233754,30.2619779,FHB 1681
210,114,0.114,0.0708396,17,0.283333333,0.004722222,1,-97.7233754,30.2619779,FHB 1681
211,104,0.104,0.0646256,29,0.483333333,0.008055556,2,-97.7244791,30.2623605,FHB 1681
212,1009,1.009,0.6269926,109,1.816666667,0.030277778,3,-97.7240891,30.2632345,FHB 1681
213,106,0.106,0.0658684,20,0.333333333,0.005555556,4,-97.7338513,30.266593,FHB 1681
214,733,0.733,0.4554862,137,2.283333333,0.038055556,5,-97.7335239,30.2675059,FHB 1681
215,110,0.11,0.068354,34,0.566666667,0.009444444,6,-97.74078,30.269532,FHB 1681
216,44,0.044,0.0273416,18,0.3,0.005,7,-97.740426,30.2704709,FHB 1681
217,NA,NA,NA,NA,NA,NA,NA,-97.7399898,30.270352,FHB 1681
218,82,0.082,0.0509548,11,0.183333333,0.003055556,1,-97.7149208,30.3080771,FHB 2838
219,7825,7.825,4.862455,716,11.93333333,0.198888889,2,-97.7156727,30.3084256,FHB 2838
220,2111,2.111,1.3117754,118,1.966666667,0.032777778,3,-97.6911004,30.2440179,FHB 2838
221,716,0.716,0.4449224,30,0.5,0.008333333,4,-97.6831557,30.2266987,FHB 2838
222,382,0.382,0.2373748,16,0.266666667,0.004444444,5,-97.6783405,30.2223293,FHB 2838
223,NA,NA,NA,NA,NA,NA,NA,-97.6746047,30.2212319,FHB 2838
224,100,0.1,0.06214,23,0.383333333,0.006388889,1,-97.7449954,30.2847862,FHB 2826
225,305,0.305,0.189527,49,0.816666667,0.013611111,2,-97.7449022,30.2856828,FHB 2826
226,268,0.268,0.1665352,64,1.066666667,0.017777778,3,-97.7480619,30.2859228,FHB 2826
227,342,0.342,0.2125188,41,0.683333333,0.011388889,4,-97.7483121,30.2835202,FHB 2826
228,4030,4.03,2.504242,524,8.733333333,0.145555556,5,-97.7517768,30.2837673,FHB 2826
229,327,0.327,0.2031978,46,0.766666667,0.012777778,6,-97.7651675,30.2512144,FHB 2826
230,10,0.01,0.006214,19,0.316666667,0.005277778,7,-97.767772,30.253001,FHB 2826
231,NA,NA,NA,NA,NA,NA,NA,-97.7678238,30.2529191,FHB 2826
232,10,0.01,0.006214,1,0.016666667,0.000277778,1,-97.7678238,30.2529191,FHB 2826
233,327,0.327,0.2031978,58,0.966666667,0.016111111,2,-97.767772,30.253001,FHB 2826
234,3478,3.478,2.1612292,443,7.383333333,0.123055556,3,-97.7651675,30.2512144,FHB 2826
235,877,0.877,0.5449678,108,1.8,0.03,4,-97.7505631,30.2794196,FHB 2826
236,442,0.442,0.2746588,87,1.45,0.024166667,5,-97.7419501,30.2775537,FHB 2826
237,140,0.14,0.086996,32,0.533333333,0.008888889,6,-97.7405371,30.2813363,FHB 2826
238,106,0.106,0.0658684,17,0.283333333,0.004722222,7,-97.7419223,30.2817279,FHB 2826
239,1,0.001,0.0006214,26,0.433333333,0.007222222,8,-97.7420233,30.2826584,FHB 2826
240,NA,NA,NA,NA,NA,NA,NA,-97.742012,30.2826576,FHB 2826
241,1,0.001,0.0006214,0,0,0,1,-97.742012,30.2826576,FHB 2826
242,31,0.031,0.0192634,21,0.35,0.005833333,2,-97.7420233,30.2826584,FHB 2826
243,435,0.435,0.270309,70,1.166666667,0.019444444,3,-97.7420568,30.2823816,FHB 2826
244,548,0.548,0.3405272,105,1.75,0.029166667,4,-97.7459107,30.2828587,FHB 2826
245,NA,NA,NA,NA,NA,NA,NA,-97.7476578,30.2781668,FHB 2826
246,20,0.02,0.012428,3,0.05,0.000833333,1,-97.7224293,30.2248836,FBV 4468
247,165,0.165,0.102531,27,0.45,0.0075,2,-97.7226201,30.2249658,FBV 4468
248,729,0.729,0.4530006,96,1.6,0.026666667,3,-97.7228331,30.2263494,FBV 4468
249,2197,2.197,1.3652158,241,4.016666667,0.066944444,4,-97.7203892,30.2323033,FBV 4468
250,2379,2.379,1.4783106,321,5.35,0.089166667,5,-97.7339067,30.2476864,FBV 4468
251,638,0.638,0.3964532,92,1.533333333,0.025555556,6,-97.7512879,30.2619738,FBV 4468
252,836,0.836,0.5194904,123,2.05,0.034166667,7,-97.7570554,30.264527,FBV 4468
253,906,0.906,0.5629884,105,1.75,0.029166667,8,-97.7539935,30.2715396,FBV 4468
254,319,0.319,0.1982266,43,0.716666667,0.011944444,9,-97.7626311,30.2748221,FBV 4468
255,98,0.098,0.0608972,25,0.416666667,0.006944444,10,-97.7610607,30.2773508,FBV 4468
256,92,0.092,0.0571688,32,0.533333333,0.008888889,11,-97.7619473,30.277779,FBV 4468
257,66,0.066,0.0410124,14,0.233333333,0.003888889,12,-97.7614912,30.278508,FBV 4468
258,NA,NA,NA,NA,NA,NA,NA,-97.7620811,30.2788117,FBV 4468
259,66,0.066,0.0410124,6,0.1,0.001666667,1,-97.7620811,30.2788117,FBV 4468
260,92,0.092,0.0571688,22,0.366666667,0.006111111,2,-97.7614912,30.278508,FBV 4468
261,98,0.098,0.0608972,20,0.333333333,0.005555556,3,-97.7619473,30.277779,FBV 4468
262,33,0.033,0.0205062,13,0.216666667,0.003611111,4,-97.7610607,30.2773508,FBV 4468
263,578,0.578,0.3591692,113,1.883333333,0.031388889,5,-97.7608792,30.277607,FBV 4468
264,30,0.03,0.018642,6,0.1,0.001666667,6,-97.7555529,30.275187,FBV 4468
265,1062,1.062,0.6599268,213,3.55,0.059166667,7,-97.7556993,30.2749441,FBV 4468
266,160,0.16,0.099424,26,0.433333333,0.007222222,8,-97.7452511,30.2718452,FBV 4468
267,57,0.057,0.0354198,4,0.066666667,0.001111111,9,-97.7457494,30.2704714,FBV 4468
268,111,0.111,0.0689754,47,0.783333333,0.013055556,10,-97.7459315,30.2699859,FBV 4468
269,55,0.055,0.034177,35,0.583333333,0.009722222,11,-97.744846,30.269655,FBV 4468
270,NA,NA,NA,NA,NA,NA,NA,-97.7446637,30.2701232,FBV 4468
271,647,0.647,0.4020458,118,1.966666667,0.032777778,1,-97.7172519,30.2937295,CYL 4630
272,991,0.991,0.6158074,141,2.35,0.039166667,2,-97.7231593,30.2965285,CYL 4630
273,1352,1.352,0.8401328,128,2.133333333,0.035555556,3,-97.7196082,30.304824,CYL 4630
274,53,0.053,0.0329342,22,0.366666667,0.006111111,4,-97.732031,30.3104082,CYL 4630
275,NA,NA,NA,NA,NA,NA,NA,-97.7323012,30.3099891,CYL 4630
276,87,0.087,0.0540618,14,0.233333333,0.003888889,1,-97.7323012,30.3099891,CYL 4630
277,101,0.101,0.0627614,32,0.533333333,0.008888889,2,-97.7327442,30.3093022,CYL 4630
278,1506,1.506,0.9358284,149,2.483333333,0.041388889,3,-97.733672,30.3097396,CYL 4630
279,550,0.55,0.34177,108,1.8,0.03,4,-97.74122,30.2978671,CYL 4630
280,1766,1.766,1.0973924,165,2.75,0.045833333,5,-97.7462269,30.3002718,CYL 4630
281,136,0.136,0.0845104,18,0.3,0.005,6,-97.752787,30.2885414,CYL 4630
282,73,0.073,0.0453622,10,0.166666667,0.002777778,7,-97.754139,30.288916,CYL 4630
283,301,0.301,0.1870414,35,0.583333333,0.009722222,8,-97.754392,30.2883,CYL 4630
284,128,0.128,0.0795392,20,0.333333333,0.005555556,9,-97.7564039,30.2862643,CYL 4630
285,42,0.042,0.0260988,5,0.083333333,0.001388889,10,-97.7565097,30.2851202,CYL 4630
286,302,0.302,0.1876628,39,0.65,0.010833333,11,-97.7568482,30.2853529,CYL 4630
287,246,0.246,0.1528644,29,0.483333333,0.008055556,12,-97.7578159,30.282774,CYL 4630
288,215,0.215,0.133601,45,0.75,0.0125,13,-97.7602308,30.2834937,CYL 4630
289,118,0.118,0.0733252,24,0.4,0.006666667,14,-97.7613776,30.2819681,CYL 4630
290,110,0.11,0.068354,27,0.45,0.0075,15,-97.7624533,30.2824731,CYL 4630
291,58,0.058,0.0360412,33,0.55,0.009166667,16,-97.763038,30.281622,CYL 4630
292,NA,NA,NA,NA,NA,NA,NA,-97.7635665,30.2818814,CYL 4630
293,348,0.348,0.2162472,29,0.483333333,0.008055556,1,-97.7189377,30.2397423,FHB 2865
294,1264,1.264,0.7854496,107,1.783333333,0.029722222,2,-97.7172115,30.2424912,FHB 2865
295,507,0.507,0.3150498,46,0.766666667,0.012777778,3,-97.7298452,30.2449171,FHB 2865
296,587,0.587,0.3647618,36,0.6,0.01,4,-97.7339067,30.2476864,FHB 2865
297,3049,3.049,1.8946486,179,2.983333333,0.049722222,5,-97.7359506,30.2523655,FHB 2865
298,383,0.383,0.2379962,18,0.3,0.005,6,-97.7297143,30.2786941,FHB 2865
299,170,0.17,0.105638,27,0.45,0.0075,7,-97.7279766,30.2817811,FHB 2865
300,570,0.57,0.354198,66,1.1,0.018333333,8,-97.7269327,30.282991,FHB 2865
301,45,0.045,0.027963,32,0.533333333,0.008888889,9,-97.721102,30.2839465,FHB 2865
