"","name","Dist","Fuel","Time","startTime"
"77","FBV 4367",5660,0,20.0166666666667,"2015-12-07 14:25:47"
"78","CK9 T264",2963,0,55.0833333333333,"2015-12-08 12:16:48"
"79","CK9 T264",1067,0,40.05,"2015-12-08 10:51:39"
"80","CK9 T264",3165,0,25.0166666666667,"2015-12-08 08:11:32"
"81","CK9 T264",2954,0,20,"2015-12-07 18:30:54"
"82","CK9 T264",3561,0,25,"2015-12-07 17:55:53"
"83","CK9 T264",3679,0,50.0166666666667,"2015-12-07 16:50:51"
"84","FHB 2825",2744,0,20,"2015-12-07 21:00:58"
"85","FHB 2825",1210,3,50.0166666666667,"2015-12-07 18:30:54"
"86","FHB 2825",1216,0,105.05,"2015-12-07 16:30:50"
"87","FHB 2825",1139,0,10.0166666666667,"2015-12-07 16:00:49"
"88","FHB 2825",2911,3,20,"2015-12-07 14:05:47"
"89","FHB 1679",15,0,55.0666666666667,"2015-12-08 11:36:45"
"90","FHB 1679",878,0,10,"2015-12-07 15:05:48"
"91","CZT 0933",10386,3,45.0166666666667,"2015-12-07 16:35:51"
"92","FHB 2844",2286,0,45.05,"2015-12-08 10:21:38"
"93","FHB 2844",6962,0,20.0166666666667,"2015-12-08 06:46:28"
"94","FHB 2844",2820,0,10.0166666666667,"2015-12-07 14:30:47"
"95","FBV 4425",5315,3,25.0333333333333,"2015-12-08 11:46:46"
"96","FBV 4425",1163,0,10.0166666666667,"2015-12-08 01:46:14"
"97","FBV 4425",2212,0,10,"2015-12-08 00:46:12"
"98","FBV 4425",6187,0,20.05,"2015-12-07 21:20:58"
"99","FBV 4425",3039,3,25.0166666666667,"2015-12-07 18:55:54"
"100","FBV 4425",3108,0,20.0166666666667,"2015-12-07 18:20:53"
"101","FHB 1676",4349,3,30.0333333333333,"2015-12-08 09:11:34"
"102","FHB 1676",4128,0,20.0166666666667,"2015-12-07 17:45:52"
"103","FHB 1676",3148,3,20.0166666666667,"2015-12-07 17:05:51"
"104","FHB 1676",2897,0,35.0166666666667,"2015-12-07 15:55:49"
"105","FHB 2833",13698,10,30.05,"2015-12-08 11:56:46"
"106","FGZ 8811",534,3,90.1666666666667,"2015-12-08 11:16:41"
"107","FGZ 8811",2474,0,45.05,"2015-12-08 09:56:36"
"108","FGZ 8811",3448,3,75.05,"2015-12-07 17:50:52"
"109","FGZ 8811",4349,6,40.0166666666667,"2015-12-07 16:25:50"
"110","FGZ 8811",1746,3,15,"2015-12-07 14:50:48"
"111","FGZ 9137",4029,3,10,"2015-12-07 19:50:56"
"112","FGZ 9137",33,3,65.0333333333333,"2015-12-07 18:35:54"
"113","FGZ 9137",2455,0,25.0166666666667,"2015-12-07 17:10:51"
"114","FGZ 9137",2614,4,35.0166666666667,"2015-12-07 15:15:48"
"115","FGZ 9137",77,0,20,"2015-12-07 14:10:47"
"116","CSF 8929",1974,0,15.0333333333333,"2015-12-08 13:06:52"
"117","CSF 8929",1699,0,20.0333333333333,"2015-12-08 12:16:48"
"118","CSF 8929",4218,0,25.0166666666667,"2015-12-08 09:21:35"
"119","CSF 8929",4662,0,20.0166666666667,"2015-12-07 23:16:08"
"120","CSF 8929",2374,0,25,"2015-12-07 16:40:51"
"121","FGZ 8617",1,0,5,"2015-12-08 01:16:13"
"122","FGZ 8621",12164,0,25.0166666666667,"2015-12-07 18:55:54"
"123","FGZ 8621",918,3,20,"2015-12-07 18:35:54"
"124","FHB 1328",5552,3,25,"2015-12-07 15:35:49"
"125","FGZ 8677",3949,0,20.0166666666667,"2015-12-07 20:15:56"
"126","FGZ 8677",5364,3,40.0166666666667,"2015-12-07 17:40:52"
"127","FHB 2830",3257,0,-10.0166666666667,"2015-12-07 19:45:56"
"128","FHB 2830",11677,6,100.033333333333,"2015-12-07 17:20:52"
"129","FHB 2830",5698,3,90.0333333333333,"2015-12-07 15:35:49"
"130","FGZ 8679",1700,-73,155.116666666667,"2015-12-08 07:51:31"
"131","CZT 1028",2247,0,30.0166666666667,"2015-12-08 09:01:34"
"132","FBV 4472",4704,3,20.0166666666667,"2015-12-08 08:41:33"
"133","FBV 4472",3174,0,20.0166666666667,"2015-12-08 08:11:32"
"134","CZT 0996",519,3,105.183333333333,"2015-12-08 11:31:42"
"135","CZT 0996",10835,3,35.0166666666667,"2015-12-08 09:21:35"
"136","CSF 9062",2011,0,40.0166666666667,"2015-12-08 07:41:31"
"137","CSF 9062",2450,3,40.0333333333333,"2015-12-07 16:00:49"
"138","FGZ 8801",10896,3,20.0166666666667,"2015-12-08 08:56:34"
"139","FGZ 8801",2172,0,15.0166666666667,"2015-12-07 19:30:55"
"140","FGZ 8627",4598,3,40.0333333333333,"2015-12-08 07:36:30"
"141","FGZ 8627",1104,0,10,"2015-12-08 06:41:28"
"142","FGZ 8627",9870,3,55.0333333333333,"2015-12-08 05:01:23"
"143","FGZ 8627",6307,0,35,"2015-12-07 16:40:51"
"144","FGZ 8613",3057,0,15,"2015-12-08 08:56:34"
"145","FGZ 8613",2927,0,25.0166666666667,"2015-12-07 17:50:52"
"146","FGZ 8613",816,0,25,"2015-12-07 17:25:52"
"147","CZS 9744",945,0,10.0333333333333,"2015-12-08 10:56:39"
"148","CZS 9744",5670,3,15.0166666666667,"2015-12-08 09:11:34"
"149","CZS 9744",7110,0,25,"2015-12-07 23:31:09"
"150","CZS 9744",869,0,10,"2015-12-07 18:05:53"
"151","FBV 4380",6772,3,45.0833333333333,"2015-12-08 12:01:46"
"152","FBV 4380",1809,0,40.0333333333333,"2015-12-08 08:36:33"
"153","FBV 4380",3868,0,15.0166666666667,"2015-12-07 23:16:08"
"154","FBV 4380",131,3,75.0333333333333,"2015-12-07 18:05:53"
"155","FBV 4380",3760,0,15,"2015-12-07 17:00:51"
"156","FHB 2855",1456,0,15.0166666666667,"2015-12-08 10:06:37"
"157","FHB 2855",1827,0,40.0166666666667,"2015-12-07 19:05:55"
"158","FHB 2855",1606,0,40.0333333333333,"2015-12-07 17:50:52"
"159","CZT 0917",316,3,30.0166666666667,"2015-12-07 18:05:53"
"160","FBV 4475",1755,0,15.0166666666667,"2015-12-08 07:56:31"
"161","FBV 4475",4105,0,35.0333333333333,"2015-12-08 02:11:15"
"162","CZT 1031",4154,0,20,"2015-12-07 19:45:56"
"163","CZT 1031",2763,0,45.0166666666667,"2015-12-07 18:35:54"
"164","CZT 1031",1036,0,10,"2015-12-07 16:55:51"
"165","FJC 9932",2506,3,25.0166666666667,"2015-12-08 09:41:36"
"166","FJC 9932",1196,6,105.066666666667,"2015-12-08 07:41:31"
"167","FJC 9932",1364,0,10,"2015-12-07 18:45:54"
"168","FJC 9932",3525,3,20.0166666666667,"2015-12-07 17:15:51"
"169","CK9 T292",400,3,105.05,"2015-12-07 19:00:54"
"170","CK9 T292",8873,0,30.0166666666667,"2015-12-07 17:45:52"
"171","FHB 2859",4950,0,255.116666666667,"2015-12-07 15:05:48"
"172","CYL 4638",11406,0,65.05,"2015-12-08 08:01:31"
"173","CYL 4638",3873,0,50.0333333333333,"2015-12-07 17:05:51"
"174","CZS 9746",3728,3,25.0333333333333,"2015-12-08 12:41:50"
"175","CZS 9746",3898,3,140.116666666667,"2015-12-08 09:01:34"
"176","CZS 9746",2847,0,35.0333333333333,"2015-12-08 08:21:32"
"177","CZS 9746",735,0,15.0166666666667,"2015-12-07 15:50:49"
"178","CZS 9746",3593,3,20,"2015-12-07 14:05:47"
"179","CK9 T267",5568,0,60.0333333333333,"2015-12-07 22:46:07"
"180","FHB 2840",698,0,20.0333333333333,"2015-12-08 13:11:53"
"181","FHB 2840",1656,0,25,"2015-12-07 19:05:55"
"182","FHB 2840",7001,3,30.0166666666667,"2015-12-07 18:10:53"
"183","FHB 2840",1596,0,10,"2015-12-07 17:20:52"
"184","FHB 2840",1660,0,10,"2015-12-07 16:55:51"
