"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude","Time....Sys.time.."
"3345","Angelina St 1124, 78702 Austin",NA,"CE","GOOD",90,"GOOD","CZS 9754","FALSE","WMEEJ3BA0EK748061","austin",-97.72456,30.26824,0,2015-12-05 23:10:48
"3346","The Parking Spot",NA,"CE","UNACCEPTABLE",60,"GOOD","CSG 1540","FALSE","WMEEJ3BA8EK733842","austin",-97.67598,30.22049,0,2015-12-05 23:10:48
"3347","Mill St 832, 78702 Austin",NA,"CE","GOOD",72,"GOOD","FHB 0247","FALSE","WMEEJ3BA4FK802141","austin",-97.71911,30.26312,0,2015-12-05 23:10:48
"3348","Durwood St 2594, 78704 Austin",NA,"CE","GOOD",75,"GOOD","FBV 4437","FALSE","WMEEJ3BA9FK799298","austin",-97.75954,30.23875,0,2015-12-05 23:10:48
"3349","Sylvan Dr 1618, 78741 Austin",NA,"CE","GOOD",100,"GOOD","FJC 9936","FALSE","WMEEJ3BA2FK801781","austin",-97.73562,30.24053,0,2015-12-05 23:10:48
"3350","Chicon St 166, 78702 Austin",NA,"CE","GOOD",54,"GOOD","FHB 0245","FALSE","WMEEJ3BA6FK800908","austin",-97.72433,30.25774,0,2015-12-05 23:10:48
"3351","Red River St 2415, 78705 Austin",NA,"CE","GOOD",66,"GOOD","FJC 9779","FALSE","WMEEJ3BA0FK802847","austin",-97.72743,30.28531,0,2015-12-05 23:10:48
"3352","One Texas Center",NA,"CE","GOOD",18,"GOOD","FHB 2845","FALSE","WMEEJ3BA4FK801863","austin",-97.74942,30.25811,0,2015-12-05 23:10:48
"3353","Kingsbury St 1104, 78703 Austin",NA,"CE","GOOD",30,"UNACCEPTABLE","CSF 8923","FALSE","WMEEJ3BA0EK734600","austin",-97.75148,30.28093,0,2015-12-05 23:10:48
"3354","East Ave 56, 78701 Austin",NA,"CE","GOOD",72,"GOOD","FGZ 8812","FALSE","WMEEJ3BA9FK802345","austin",-97.73828,30.25729,0,2015-12-05 23:10:48
"3355","The Parking Spot",NA,"CE","GOOD",100,"GOOD","FBV 4422","FALSE","WMEEJ3BA5FK799802","austin",-97.67598,30.22049,0,2015-12-05 23:10:48
"3356","Kingsbury St 1221, 78703 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4439","FALSE","WMEEJ3BA8FK799261","austin",-97.75252,30.28128,0,2015-12-05 23:10:48
"3357","Travis Heights Blvd 2075, 78704 Austin",NA,"CE","GOOD",54,"GOOD","FHB 2862","FALSE","WMEEJ3BA1FK802274","austin",-97.74449,30.23917,0,2015-12-05 23:10:48
"3358","Angelina St 1104, 78702 Austin",NA,"CE","GOOD",63,"GOOD","FGZ 8813","FALSE","WMEEJ3BA8FK802417","austin",-97.72483,30.26774,0,2015-12-05 23:10:48
"3359","Kirkwood Rd 1515, 78722 Austin",NA,"CE","GOOD",30,"GOOD","FFD 6224","FALSE","WMEEJ3BA6FK801606","austin",-97.71422,30.29476,0,2015-12-05 23:10:48
