"","lat","lon","name"
"122",30.24459,-97.77234,"CSF 9069"
"123",30.24459,-97.77234,"CSF 9069"
"124",30.24459,-97.77234,"CSF 9069"
"125",30.2455,-97.77175,"CSF 9069"
"126",30.24558,-97.77162,"CSF 9069"
"127",30.24655,-97.76926,"CSF 9069"
"128",30.24771,-97.76973,"CSF 9069"
"129",30.24819,-97.76989,"CSF 9069"
"130",30.24843,-97.76997,"CSF 9069"
"131",30.24856,-97.76945,"CSF 9069"
"132",30.24871,-97.76902,"CSF 9069"
"133",30.2488,-97.76876,"CSF 9069"
"134",30.24919,-97.76788,"CSF 9069"
"135",30.24945,-97.76739,"CSF 9069"
"136",30.2498,-97.76683,"CSF 9069"
"137",30.25033,-97.76612,"CSF 9069"
"138",30.2506,-97.76579,"CSF 9069"
"139",30.25157,-97.76481,"CSF 9069"
"140",30.25262,-97.76382,"CSF 9069"
"141",30.25322,-97.76328,"CSF 9069"
"142",30.25341,-97.76314,"CSF 9069"
"143",30.25424,-97.76258,"CSF 9069"
"144",30.25538,-97.76189,"CSF 9069"
"145",30.25648,-97.76123,"CSF 9069"
"146",30.25694,-97.76088,"CSF 9069"
"147",30.25758,-97.76015,"CSF 9069"
"148",30.25775,-97.75991,"CSF 9069"
"149",30.25803,-97.75957,"CSF 9069"
"150",30.25827,-97.75938,"CSF 9069"
"151",30.25877,-97.75912,"CSF 9069"
"152",30.25902,-97.75903,"CSF 9069"
"153",30.25965,-97.75893,"CSF 9069"
"154",30.26018,-97.75877,"CSF 9069"
"155",30.26072,-97.75857,"CSF 9069"
"156",30.26087,-97.75845,"CSF 9069"
"157",30.26126,-97.7583,"CSF 9069"
"158",30.26141,-97.75825,"CSF 9069"
"159",30.26169,-97.75813,"CSF 9069"
"160",30.26208,-97.75796,"CSF 9069"
"161",30.26275,-97.75774,"CSF 9069"
"162",30.26444,-97.75707,"CSF 9069"
"163",30.26485,-97.75694,"CSF 9069"
"164",30.26499,-97.75693,"CSF 9069"
"165",30.26502,-97.75691,"CSF 9069"
"166",30.26625,-97.75642,"CSF 9069"
"167",30.26708,-97.75604,"CSF 9069"
"168",30.26714,-97.75596,"CSF 9069"
"169",30.26729,-97.7559,"CSF 9069"
"170",30.2674,-97.75573,"CSF 9069"
"171",30.26742,-97.75566,"CSF 9069"
"172",30.2674,-97.75554,"CSF 9069"
"173",30.2673,-97.75544,"CSF 9069"
"174",30.26712,-97.75538,"CSF 9069"
"175",30.26691,-97.75537,"CSF 9069"
"176",30.26684,-97.75535,"CSF 9069"
"177",30.2665,-97.75551,"CSF 9069"
"178",30.26639,-97.75555,"CSF 9069"
"179",30.26642,-97.75573,"CSF 9069"
"180",30.26649,-97.75617,"CSF 9069"
"181",30.26652,-97.75631,"CSF 9069"
"182",30.26664,-97.7566,"CSF 9069"
"183",30.26686,-97.75696,"CSF 9069"
"184",30.26706,-97.75722,"CSF 9069"
"185",30.26755,-97.75778,"CSF 9069"
"186",30.26782,-97.75813,"CSF 9069"
"187",30.26811,-97.75859,"CSF 9069"
"188",30.26837,-97.7592,"CSF 9069"
"189",30.26937,-97.76148,"CSF 9069"
"190",30.26955,-97.76185,"CSF 9069"
"191",30.26969,-97.76196,"CSF 9069"
"192",30.26996,-97.76232,"CSF 9069"
"193",30.27007,-97.76242,"CSF 9069"
"194",30.27024,-97.76258,"CSF 9069"
"195",30.27094,-97.76319,"CSF 9069"
"196",30.27222,-97.76429,"CSF 9069"
"197",30.27335,-97.76532,"CSF 9069"
"198",30.27342,-97.76535,"CSF 9069"
"199",30.27362,-97.76551,"CSF 9069"
"200",30.27404,-97.76585,"CSF 9069"
"201",30.27459,-97.76623,"CSF 9069"
"202",30.2752,-97.76658,"CSF 9069"
"203",30.27545,-97.76671,"CSF 9069"
"204",30.27601,-97.76695,"CSF 9069"
"205",30.27673,-97.76723,"CSF 9069"
"206",30.27683,-97.76726,"CSF 9069"
"207",30.27704,-97.76732,"CSF 9069"
"208",30.27733,-97.76737,"CSF 9069"
"209",30.27774,-97.76739,"CSF 9069"
"210",30.27843,-97.76734,"CSF 9069"
"211",30.27874,-97.76728,"CSF 9069"
"212",30.27921,-97.76714,"CSF 9069"
"213",30.27955,-97.76705,"CSF 9069"
"214",30.27985,-97.76697,"CSF 9069"
"215",30.28018,-97.76682,"CSF 9069"
"216",30.28132,-97.76621,"CSF 9069"
"217",30.2818,-97.76597,"CSF 9069"
"218",30.28226,-97.76575,"CSF 9069"
"219",30.28313,-97.76542,"CSF 9069"
"220",30.28335,-97.76536,"CSF 9069"
"221",30.28384,-97.7651,"CSF 9069"
"222",30.28451,-97.76468,"CSF 9069"
"223",30.28587,-97.76372,"CSF 9069"
"224",30.28722,-97.7628,"CSF 9069"
"225",30.28863,-97.76182,"CSF 9069"
"226",30.28967,-97.76111,"CSF 9069"
"227",30.29049,-97.76062,"CSF 9069"
"228",30.29146,-97.76013,"CSF 9069"
"229",30.29209,-97.75986,"CSF 9069"
"230",30.29231,-97.75977,"CSF 9069"
"231",30.29324,-97.75945,"CSF 9069"
"232",30.29502,-97.75896,"CSF 9069"
"233",30.2951,-97.75892,"CSF 9069"
"234",30.29712,-97.75836,"CSF 9069"
"235",30.29822,-97.7581,"CSF 9069"
"236",30.29855,-97.75806,"CSF 9069"
"237",30.2989,-97.75803,"CSF 9069"
"238",30.29918,-97.75802,"CSF 9069"
"239",30.29972,-97.75804,"CSF 9069"
"240",30.30044,-97.7581,"CSF 9069"
"241",30.3028,-97.75828,"CSF 9069"
"242",30.30361,-97.75827,"CSF 9069"
"243",30.30439,-97.75817,"CSF 9069"
"244",30.30581,-97.75788,"CSF 9069"
"245",30.30757,-97.75751,"CSF 9069"
"246",30.30863,-97.75726,"CSF 9069"
"247",30.30912,-97.75716,"CSF 9069"
"248",30.30984,-97.75705,"CSF 9069"
"249",30.31526,-97.75636,"CSF 9069"
"250",30.31871,-97.75594,"CSF 9069"
"251",30.32114,-97.75574,"CSF 9069"
"252",30.32129,-97.75573,"CSF 9069"
"253",30.32176,-97.75573,"CSF 9069"
"254",30.32601,-97.75562,"CSF 9069"
"255",30.33251,-97.75544,"CSF 9069"
"256",30.33304,-97.75546,"CSF 9069"
"257",30.33538,-97.75543,"CSF 9069"
"258",30.33586,-97.7554,"CSF 9069"
"259",30.33618,-97.75537,"CSF 9069"
"260",30.33649,-97.7553,"CSF 9069"
"261",30.33686,-97.75522,"CSF 9069"
"262",30.33763,-97.755,"CSF 9069"
"263",30.3382,-97.75474,"CSF 9069"
"264",30.33955,-97.75404,"CSF 9069"
"265",30.34251,-97.75245,"CSF 9069"
"266",30.34442,-97.75152,"CSF 9069"
"267",30.34862,-97.74965,"CSF 9069"
"268",30.34894,-97.74951,"CSF 9069"
"269",30.34919,-97.74936,"CSF 9069"
"270",30.34982,-97.74905,"CSF 9069"
"271",30.35089,-97.74865,"CSF 9069"
"272",30.35161,-97.74838,"CSF 9069"
"273",30.35173,-97.74888,"CSF 9069"
"274",30.35181,-97.74919,"CSF 9069"
"275",30.35189,-97.74951,"CSF 9069"
