"","lat","lon","startTime","name"
"78",30.24028,-97.78217,"2015-12-07 13:50:46","CSF 9069"
"79",30.24002,-97.78221,"2015-12-07 13:50:46","CSF 9069"
"80",30.23973,-97.78234,"2015-12-07 13:50:46","CSF 9069"
"81",30.23839,-97.78296,"2015-12-07 13:50:46","CSF 9069"
"82",30.23833,-97.78267,"2015-12-07 13:50:46","CSF 9069"
"83",30.23829,-97.78254,"2015-12-07 13:50:46","CSF 9069"
"84",30.23808,-97.78208,"2015-12-07 13:50:46","CSF 9069"
"85",30.23761,-97.78126,"2015-12-07 13:50:46","CSF 9069"
"86",30.23638,-97.78203,"2015-12-07 13:50:46","CSF 9069"
"87",30.23638,-97.78203,"2015-12-07 20:35:57","CSF 9069"
"88",30.23761,-97.78126,"2015-12-07 20:35:57","CSF 9069"
"89",30.23808,-97.78208,"2015-12-07 20:35:57","CSF 9069"
"90",30.23829,-97.78254,"2015-12-07 20:35:57","CSF 9069"
"91",30.23833,-97.78267,"2015-12-07 20:35:57","CSF 9069"
"92",30.23839,-97.78296,"2015-12-07 20:35:57","CSF 9069"
"93",30.23973,-97.78234,"2015-12-07 20:35:57","CSF 9069"
"94",30.24002,-97.78221,"2015-12-07 20:35:57","CSF 9069"
"95",30.24028,-97.78217,"2015-12-07 20:35:57","CSF 9069"
"96",30.24136,-97.78224,"2015-12-07 20:35:57","CSF 9069"
"97",30.24166,-97.78225,"2015-12-07 20:35:57","CSF 9069"
"98",30.24186,-97.7822,"2015-12-07 20:35:57","CSF 9069"
"99",30.24224,-97.78194,"2015-12-07 20:35:57","CSF 9069"
"100",30.24259,-97.78171,"2015-12-07 20:35:57","CSF 9069"
"101",30.24285,-97.78159,"2015-12-07 20:35:57","CSF 9069"
"102",30.24414,-97.78135,"2015-12-07 20:35:57","CSF 9069"
"103",30.2443,-97.78133,"2015-12-07 20:35:57","CSF 9069"
"104",30.24445,-97.78112,"2015-12-07 20:35:57","CSF 9069"
"105",30.24482,-97.78062,"2015-12-07 20:35:57","CSF 9069"
"106",30.24535,-97.77991,"2015-12-07 20:35:57","CSF 9069"
"107",30.24619,-97.77873,"2015-12-07 20:35:57","CSF 9069"
"108",30.24632,-97.77852,"2015-12-07 20:35:57","CSF 9069"
"109",30.24652,-97.77816,"2015-12-07 20:35:57","CSF 9069"
"110",30.24676,-97.77766,"2015-12-07 20:35:57","CSF 9069"
"111",30.24691,-97.77724,"2015-12-07 20:35:57","CSF 9069"
"112",30.24713,-97.77634,"2015-12-07 20:35:57","CSF 9069"
